name,created_at,forks,topics,categories
Hello-Python,2022-08-03T17:14:53Z,1439,"['backend', 'chatgpt', 'chatgpt-api', 'fastapi', 'frontend', 'gpt-3', 'gpt-4', 'mongodb', 'openai', 'openai-api', 'python', 'python3', 'reflex', 'tutorial']",['Beginner']
break-the-ice-with-python,2018-01-04T21:59:14Z,1413,"['100', '100-days-of-code', '100-plus-python-programming', '100-programming-problems', '100-python-problem', 'discussion', 'interview', 'learning-exercise', 'learning-python', 'opinions', 'practice', 'programming', 'python', 'python-challenge', 'python-examples', 'python-exercise', 'python-playground', 'python-programming-exercises', 'tutorial', 'tutorial-code']",['Beginner']
codeparkshare,2013-03-17T04:11:25Z,1363,"['beginner', 'newbie', 'python', 'tutorial']",['Beginner']
30-Days-of-Python,2016-03-09T22:47:10Z,1347,"['api', 'automation', 'csv', 'fastapi', 'flask', 'jupyter', 'pandas', 'python', 'python3', 'rest-api', 'selenium', 'selenium-webdriver', 'tutorial', 'web-scraping']",['Beginner']
typescript-tutorial,2016-05-11T03:02:41Z,1324,"['javascript', 'tutorial', 'typescript']","['Beginner', 'Web Programming']"
pytorch-seq2seq,2018-07-17T12:26:59Z,1313,"['attention', 'cnn-seq2seq', 'encoder-decoder', 'encoder-decoder-model', 'gru', 'lstm', 'neural-machine-translation', 'pytorch', 'pytorch-implementation', 'pytorch-implmention', 'pytorch-nlp', 'pytorch-seq2seq', 'pytorch-tutorial', 'pytorch-tutorials', 'rnn', 'seq2seq', 'sequence-to-sequence', 'torchtext', 'transformer', 'tutorial']",['Beginner']
PyTorch,2018-09-11T00:44:57Z,1304,"['pytorch', 'tutorial']",['Beginner']
digital_video_introduction,2017-01-28T00:12:05Z,1293,"['adaptive-streaming', 'arithmetic-coding', 'audio', 'av1', 'bitstream', 'codec', 'compression', 'dash', 'ffmpeg', 'frame-types', 'guide', 'h264', 'h265', 'handson', 'hls', 'learning', 'tutorial', 'video', 'video-codec', 'vp9']",['Beginner']
qiskit-tutorials,2017-08-03T14:55:29Z,1277,"['qiskit', 'quantum-computing', 'quantum-programming-language', 'tutorial']",['Beginner']
raspberry-pi-os,2017-06-22T16:09:36Z,1277,"['arm', 'armv8', 'assembler', 'c', 'education', 'kernel', 'learn', 'linux-kernel', 'operating-system', 'osdev', 'raspberry-pi', 'raspberry-pi-3', 'raspberry-pi-os', 'resource', 'tutorial']",['Beginner']
