name,created_at,forks,topics,categories
TensorFlow-Tutorials,2016-06-26T14:43:21Z,4211,"['deep-learning', 'machine-learning', 'neural-network', 'python-notebook', 'reinforcement-learning', 'tensorflow', 'tutorial', 'youtube']","['Machine Learning', 'Beginner']"
C,2016-07-16T10:17:03Z,4186,"['algorithm-challenges', 'algorithm-competitions', 'algorithms', 'c', 'community-driven', 'computer-science', 'data-structures', 'datastructures', 'education', 'educational', 'hacktoberfest', 'interview', 'interview-questions', 'learn-to-code', 'machine-learning', 'machine-learning-algorithms', 'mathematics', 'search', 'sort']",['Machine Learning']
Deep-Learning-with-TensorFlow-book,2019-06-16T05:53:27Z,4100,"['book', 'deeplearning', 'machinelearning', 'opensource', 'python', 'pytorch', 'tensorflow', 'tensorflow2']",['Machine Learning']
component-library,2018-05-21T17:13:20Z,4097,"['data-science', 'machine-learning']",['Machine Learning']
d2l-en,2018-10-09T01:04:37Z,4094,"['book', 'computer-vision', 'data-science', 'deep-learning', 'gaussian-processes', 'hyperparameter-optimization', 'jax', 'kaggle', 'keras', 'machine-learning', 'mxnet', 'natural-language-processing', 'notebook', 'python', 'pytorch', 'recommender-system', 'reinforcement-learning', 'tensorflow']",['Machine Learning']
Prompt-Engineering-Guide,2022-12-16T16:04:50Z,4081,"['chatgpt', 'deep-learning', 'language-model', 'openai', 'prompt-engineering']",['Machine Learning']
ml-agents,2017-09-08T21:09:04Z,4046,"['deep-learning', 'deep-reinforcement-learning', 'machine-learning', 'neural-networks', 'reinforcement-learning', 'unity', 'unity3d']",['Machine Learning']
ncnn,2017-06-30T10:55:37Z,4045,"['android', 'arm-neon', 'artificial-intelligence', 'caffe', 'darknet', 'deep-learning', 'high-preformance', 'inference', 'ios', 'keras', 'mlir', 'mxnet', 'ncnn', 'neural-network', 'onnx', 'pytorch', 'riscv', 'simd', 'tensorflow', 'vulkan']",['Machine Learning']
homemade-machine-learning,2018-11-01T04:34:19Z,3988,"['algorithm', 'jupyter', 'jupyter-notebook', 'machine-learning', 'machine-learning-algorithms', 'machinelearning', 'python']",['Machine Learning']
stanford_alpaca,2023-03-10T23:33:09Z,3979,"['deep-learning', 'instruction-following', 'language-model']",['Machine Learning']
mlflow,2018-06-05T16:05:58Z,3904,"['ai', 'apache-spark', 'machine-learning', 'ml', 'mlflow', 'model-management']",['Machine Learning']
DeepSpeech,2016-06-02T15:04:53Z,3871,"['deep-learning', 'deepspeech', 'embedded', 'machine-learning', 'neural-networks', 'offline', 'on-device', 'speech-recognition', 'speech-to-text', 'tensorflow']",['Machine Learning']
nlp-tutorial,2019-01-09T11:44:20Z,3870,"['attention', 'bert', 'natural-language-processing', 'nlp', 'paper', 'pytorch', 'tensorflow', 'transformer', 'tutorial']","['Machine Learning', 'Beginner']"
stanford-cs-229-machine-learning,2018-08-04T23:01:00Z,3836,"['cheatsheet', 'cs229', 'data-science', 'deep-learning', 'machine-learning', 'ml-cheatsheet', 'supervised-learning', 'unsupervised-learning']",['Machine Learning']
machine-learning-for-trading,2018-05-09T12:33:08Z,3821,"['artificial-intelligence', 'data-science', 'deep-learning', 'finance', 'investment', 'investment-strategies', 'machine-learning', 'ml4t-workflow', 'synthetic-data', 'trading', 'trading-agent', 'trading-strategies']",['Machine Learning']
DeepSpeed,2020-01-23T18:35:18Z,3811,"['billion-parameters', 'compression', 'data-parallelism', 'deep-learning', 'gpu', 'inference', 'machine-learning', 'mixture-of-experts', 'model-parallelism', 'pipeline-parallelism', 'pytorch', 'trillion-parameters', 'zero']",['Machine Learning']
LightGBM,2016-08-05T05:45:50Z,3763,"['data-mining', 'decision-trees', 'distributed', 'gbdt', 'gbm', 'gbrt', 'gradient-boosting', 'kaggle', 'lightgbm', 'machine-learning', 'microsoft', 'parallel', 'python', 'r']",['Machine Learning']
transferlearning,2017-04-30T11:32:21Z,3759,"['deep-learning', 'domain-adaptation', 'domain-adaption', 'domain-generalization', 'few-shot', 'few-shot-learning', 'generalization', 'machine-learning', 'meta-learning', 'paper', 'papers', 'representation-learning', 'self-supervised-learning', 'style-transfer', 'survey', 'theory', 'transfer-learning', 'transferlearning', 'tutorial-code', 'unsupervised-learning']",['Machine Learning']
Machine-Learning-Tutorials,2015-09-12T14:51:38Z,3741,"['awesome', 'awesome-list', 'deep-learning', 'deep-learning-tutorial', 'deep-neural-networks', 'deeplearning', 'list', 'machine-learning', 'machinelearning', 'neural-network', 'neural-networks']",['Machine Learning']
pytorch-book,2017-05-24T07:49:38Z,3694,"['autograd', 'caption', 'charrnn', 'deep-learning', 'gan', 'image-classification', 'jupyter-notebook', 'neural-style', 'neuraltalk', 'nn', 'pytorch', 'pytorch-tutorials', 'pytorch-tutorials-cn', 'tensor', 'tensorboard', 'visdom']",['Machine Learning']
abu,2016-09-19T15:31:53Z,3649,"['algorithmic-trading', 'bitcoin', 'machine-learning', 'matplotlib', 'numpy', 'pandas', 'quant', 'quantitative-trading', 'stock', 'trade', 'trading']",['Machine Learning']
numpy-ml,2019-04-06T22:29:49Z,3642,"['attention', 'bayesian-inference', 'gaussian-mixture-models', 'gaussian-processes', 'good-turing-smoothing', 'gradient-boosting', 'hidden-markov-models', 'knn', 'lstm', 'machine-learning', 'mfcc', 'neural-networks', 'reinforcement-learning', 'resnet', 'topic-modeling', 'vae', 'wavenet', 'wgan-gp', 'word2vec']",['Machine Learning']
face-api.js,2018-05-19T06:14:53Z,3611,"['age-estimation', 'emotion-recognition', 'face-detection', 'face-landmarks', 'face-recognition', 'gender-recognition', 'javascript', 'js', 'nodejs', 'tensorflow', 'tensorflowjs', 'tfjs']","['Machine Learning', 'Web Programming']"
NLP-progress,2018-06-22T17:43:55Z,3608,"['dialogue', 'machine-learning', 'machine-translation', 'named-entity-recognition', 'natural-language-processing', 'nlp-tasks']",['Machine Learning']
openface,2015-09-16T12:47:27Z,3600,"['deep-learning', 'face-recognition', 'facenet']",['Machine Learning']
onnx,2017-09-07T04:53:45Z,3592,"['deep-learning', 'deep-neural-networks', 'dnn', 'keras', 'machine-learning', 'ml', 'mxnet', 'neural-network', 'onnx', 'pytorch', 'scikit-learn', 'tensorflow']",['Machine Learning']
lectures,2017-02-06T11:32:46Z,3587,"['deep-learning', 'machine-learning', 'natural-language-processing', 'nlp', 'oxford']",['Machine Learning']
course-v3,2018-10-11T19:41:45Z,3583,"['data-science', 'deep-learning', 'fastai', 'machine-learning', 'machine-learning-courses', 'mooc', 'pytorch']",['Machine Learning']
pytorch_geometric,2017-10-06T16:03:03Z,3514,"['deep-learning', 'geometric-deep-learning', 'graph-convolutional-networks', 'graph-neural-networks', 'pytorch']",['Machine Learning']
applied-ml,2020-07-04T18:57:47Z,3512,"['applied-data-science', 'applied-machine-learning', 'computer-vision', 'data-discovery', 'data-engineering', 'data-quality', 'data-science', 'deep-learning', 'machine-learning', 'natural-language-processing', 'production', 'recsys', 'reinforcement-learning', 'search']",['Machine Learning']
introtodeeplearning,2018-01-28T18:26:44Z,3471,"['algorithmic-bias', 'computer-vision', 'deep-learning', 'deep-reinforcement-learning', 'deeplearning', 'jupyter-notebooks', 'mit', 'music-generation', 'neural-networks', 'tensorflow', 'tensorflow-tutorials']",['Machine Learning']
cheatsheets-ai,2017-05-24T12:06:56Z,3438,"['artificial-intelligence', 'deep-learning', 'keras', 'machine-learning', 'matplotlib', 'numpy', 'scipy']",['Machine Learning']
yolov3,2018-08-26T08:57:20Z,3434,"['deep-learning', 'machine-learning', 'object-detection', 'ultralytics', 'yolo', 'yolov3', 'yolov5']",['Machine Learning']
tensor2tensor,2017-06-15T16:57:39Z,3419,"['deep-learning', 'machine-learning', 'machine-translation', 'reinforcement-learning', 'tpu']",['Machine Learning']
DeepFaceLive,2020-12-15T12:19:22Z,3382,"['deepfake', 'faceswap', 'machine-learning', 'real-time', 'streaming', 'videocall', 'webcam']",['Machine Learning']
carla,2017-10-24T09:06:23Z,3340,"['ai', 'artificial-intelligence', 'autonomous-driving', 'autonomous-vehicles', 'carla', 'carla-simulator', 'computer-vision', 'cross-platform', 'deep-learning', 'deep-reinforcement-learning', 'imitation-learning', 'research', 'ros', 'self-driving-car', 'simulator', 'ue4', 'unreal-engine-4']",['Machine Learning']
tvm,2016-10-12T22:20:28Z,3331,"['compiler', 'deep-learning', 'gpu', 'javascript', 'machine-learning', 'metal', 'opencl', 'performance', 'rocm', 'spirv', 'tensor', 'tvm', 'vulkan']","['Machine Learning', 'Web Programming']"
DeepLearning,2018-04-09T15:53:37Z,3330,"['cnn', 'deep-learning', 'deeplearning', 'gan', 'gcn', 'kaggle', 'machine-learning', 'machinelearning', 'mxnet', 'pytorch', 'rnn', 'tensorflow']",['Machine Learning']
